Country,Place,Region
Guinea,"Guekedou, Macenta, Nzerekore and Kissidougou",NZerekore
Guinea,"( Guekedou, Macenta and Kissidougou",NZerekore
Guinea,"( Guekedou, Macenta and Kissidougou)",NZerekore
Guinea,"( Guekedou, Macenta,Kissidougou,Lofa,Kankan and Conakry)",NZerekore
Guinea,Conakry,Boke
Guinea,Gueckedou,NZerekore
Guinea,Kankan,NZerekore
Guinea,Kissidougou,NZerekore
Guinea,Lofa County,NZerekore
Guinea,Macenta,NZerekore
Guinea,National,NZerekore
Guinea,Dabola and Djingaraye,Boke
Guinea,Dabola ,Boke
Guinea,Dinguiraye ,Faranah
Guinea,Telimele,NZerekore
Guinea,Boffa,Boke
Guinea,Kouroussa,NZerekore
Guinea,Boffa ,Boke
Guinea,Conakry ,Boke
Guinea,Dabola,Boke
Guinea,Dubreka,Kindia
Guinea,Gueckedou ,NZerekore
Guinea,Kissidougou ,NZerekore
Guinea,Kouroussa ,NZerekore
Guinea,Macenta ,NZerekore
Guinea,Nzerekore,NZerekore
Guinea,Pita ,NZerekore
Guinea,Siguiri ,NZerekore
Guinea,Yomou,NZerekore
Guinea,Dinguiraye,Faranah
Guinea,Pita,NZerekore
Guinea,Siguiri,NZerekore
Guinea,For_cariah,Mamou
Guinea,Kerouane,NZerekore
Guinea,Coyah,Boke
Guinea,Dalaba,Boke
Guinea,Kindia,NZerekore
Guinea,Beyla,NZerekore
Guinea,Lola,NZerekore
Guinea,Faranah,Mamou
Guinea,Boke,Boke
Guinea,Mamou,NZerekore
